keibajo_code,kyori,wakuban,sample_count,tansho_hit_count,fukusho_hit_count,tansho_hit_rate,fukusho_hit_rate,keibajo_name
44,2600,7,3,1,1,33.33,33.33,大井
44,2600,8,3,0,0,0.0,0.0,大井
45,900,1,124,9,45,7.26,36.29,川崎
45,900,2,149,10,35,6.71,23.49,川崎
45,900,3,132,13,43,9.85,32.58,川崎
45,900,4,154,12,48,7.79,31.17,川崎
45,900,5,225,17,58,7.56,25.78,川崎
45,900,6,237,24,60,10.13,25.32,川崎
45,900,7,265,25,70,9.43,26.42,川崎
45,900,8,242,22,71,9.09,29.34,川崎
45,1400,1,516,61,176,11.82,34.11,川崎
45,1400,2,565,54,166,9.56,29.38,川崎
45,1400,3,535,51,166,9.53,31.03,川崎
45,1400,4,573,61,180,10.65,31.41,川崎
45,1400,5,798,62,206,7.77,25.81,川崎
45,1400,6,880,73,247,8.3,28.07,川崎
45,1400,7,899,65,216,7.23,24.03,川崎
45,1400,8,959,77,247,8.03,25.76,川崎
45,1500,1,485,55,131,11.34,27.01,川崎
45,1500,2,456,48,146,10.53,32.02,川崎
45,1500,3,566,44,153,7.77,27.03,川崎
45,1500,4,625,58,176,9.28,28.16,川崎
45,1500,5,753,63,178,8.37,23.64,川崎
45,1500,6,795,57,201,7.17,25.28,川崎
45,1500,7,806,57,185,7.07,22.95,川崎
45,1500,8,932,71,230,7.62,24.68,川崎
45,1600,1,288,31,85,10.76,29.51,川崎
45,1600,2,287,34,90,11.85,31.36,川崎
45,1600,3,346,29,100,8.38,28.9,川崎
45,1600,4,424,36,97,8.49,22.88,川崎
45,1600,5,473,41,105,8.67,22.2,川崎
45,1600,6,479,42,116,8.77,24.22,川崎
45,1600,7,495,37,111,7.47,22.42,川崎
45,1600,8,505,33,107,6.53,21.19,川崎
45,2000,1,43,1,11,2.33,25.58,川崎
45,2000,2,38,4,16,10.53,42.11,川崎
45,2000,3,50,7,17,14.0,34.0,川崎
45,2000,4,53,4,18,7.55,33.96,川崎
45,2000,5,60,7,21,11.67,35.0,川崎
45,2000,6,70,4,18,5.71,25.71,川崎
45,2000,7,58,5,10,8.62,17.24,川崎
45,2000,8,82,5,18,6.1,21.95,川崎
45,2100,1,7,0,3,0.0,42.86,川崎
45,2100,2,20,4,8,20.0,40.0,川崎
45,2100,3,31,7,12,22.58,38.71,川崎
45,2100,4,25,2,10,8.0,40.0,川崎
45,2100,5,31,2,6,6.45,19.35,川崎
45,2100,6,35,1,8,2.86,22.86,川崎
45,2100,7,24,1,8,4.17,33.33,川崎
45,2100,8,39,1,8,2.56,20.51,川崎
46,900,1,10,2,5,20.0,50.0,金沢
46,900,2,14,3,6,21.43,42.86,金沢
46,900,3,17,3,6,17.65,35.29,金沢
46,900,4,17,2,5,11.76,29.41,金沢
46,900,5,17,2,7,11.76,41.18,金沢
46,900,6,15,1,4,6.67,26.67,金沢
46,900,7,13,1,3,7.69,23.08,金沢
46,900,8,25,6,12,24.0,48.0,金沢
46,1300,1,45,9,18,20.0,40.0,金沢
46,1300,2,45,6,18,13.33,40.0,金沢
46,1300,3,56,4,23,7.14,41.07,金沢
46,1300,4,36,7,13,19.44,36.11,金沢
46,1300,5,41,5,12,12.2,29.27,金沢
46,1300,6,54,4,19,7.41,35.19,金沢
46,1300,7,63,9,20,14.29,31.75,金沢
46,1300,8,85,13,38,15.29,44.71,金沢
46,1400,1,685,77,237,11.24,34.6,金沢
46,1400,2,617,74,219,11.99,35.49,金沢
46,1400,3,651,85,250,13.06,38.4,金沢
46,1400,4,582,75,192,12.89,32.99,金沢
46,1400,5,677,81,222,11.96,32.79,金沢
46,1400,6,778,94,278,12.08,35.73,金沢
46,1400,7,919,95,259,10.34,28.18,金沢
46,1400,8,1019,112,329,10.99,32.29,金沢
46,1500,1,624,75,205,12.02,32.85,金沢
46,1500,2,632,70,201,11.08,31.8,金沢
46,1500,3,682,76,241,11.14,35.34,金沢
46,1500,4,632,77,229,12.18,36.23,金沢
