keibajo_code,keibajo_name,distance,waku,sample_count,tansho_hit_rate,fukusho_hit_rate,avg_hit_rate,baseline_rate,wakuban_coefficient
43,船橋,2200,4,168,4.76,20.83,12.794999999999998,18.466875,-8.507812500000005
43,船橋,2200,5,220,9.09,30.91,20.0,18.466875,2.2996874999999974
43,船橋,2200,6,230,10.87,26.52,18.695,18.466875,0.34218749999999787
43,船橋,2200,7,251,9.56,31.08,20.32,18.466875,2.779687499999998
43,船橋,2200,8,258,12.4,32.95,22.675,18.466875,6.3121874999999985
43,船橋,2400,1,10,40.0,60.0,50.0,17.377499999999998,48.93375
43,船橋,2400,2,10,0.0,20.0,10.0,17.377499999999998,-11.066249999999997
43,船橋,2400,3,15,13.33,20.0,16.665,17.377499999999998,-1.0687499999999979
43,船橋,2400,4,16,0.0,25.0,12.5,17.377499999999998,-7.316249999999997
43,船橋,2400,5,17,0.0,11.76,5.88,17.377499999999998,-17.246249999999996
43,船橋,2400,6,18,0.0,11.11,5.555,17.377499999999998,-17.733749999999997
43,船橋,2400,7,19,5.26,31.58,18.419999999999998,17.377499999999998,1.5637500000000006
43,船橋,2400,8,20,15.0,25.0,20.0,17.377499999999998,3.9337500000000034
44,大井,1000,1,25,8.0,32.0,20.0,19.6125,0.5812499999999989
44,大井,1000,2,25,8.0,40.0,24.0,19.6125,6.581249999999999
44,大井,1000,3,25,12.0,32.0,22.0,19.6125,3.581249999999999
44,大井,1000,4,25,8.0,40.0,24.0,19.6125,6.581249999999999
44,大井,1000,5,34,8.82,29.41,19.115000000000002,19.6125,-0.7462499999999981
44,大井,1000,6,38,5.26,18.42,11.84,19.6125,-11.658750000000001
44,大井,1000,7,41,4.88,19.51,12.195,19.6125,-11.12625
44,大井,1000,8,40,20.0,27.5,23.75,19.6125,6.206249999999999
44,大井,1200,1,1153,10.06,24.72,17.39,15.64375,2.619375
44,大井,1200,2,1237,7.92,23.77,15.844999999999999,15.64375,0.30187499999999723
44,大井,1200,3,1523,6.63,22.46,14.545,15.64375,-1.6481250000000012
44,大井,1200,4,1655,8.22,24.05,16.135,15.64375,0.7368750000000013
44,大井,1200,5,1752,7.59,22.66,15.125,15.64375,-0.7781250000000011
44,大井,1200,6,1817,7.32,22.51,14.915000000000001,15.64375,-1.0931249999999997
44,大井,1200,7,1867,6.59,22.82,14.705,15.64375,-1.408125000000001
44,大井,1200,8,1886,8.59,24.39,16.490000000000002,15.64375,1.269375000000002
44,大井,1400,1,572,8.22,26.22,17.22,16.9125,0.46124999999999616
44,大井,1400,2,586,10.92,30.03,20.475,16.9125,5.34375
44,大井,1400,3,716,6.15,21.23,13.690000000000001,16.9125,-4.83375
44,大井,1400,4,782,8.31,25.19,16.75,16.9125,-0.24375000000000213
44,大井,1400,5,858,9.44,24.48,16.96,16.9125,0.07124999999999915
44,大井,1400,6,929,7.32,23.04,15.18,16.9125,-2.5987500000000026
44,大井,1400,7,970,7.94,27.22,17.58,16.9125,1.0012499999999953
44,大井,1400,8,983,9.36,25.53,17.445,16.9125,0.7987499999999983
44,大井,1600,1,749,7.88,28.84,18.36,16.9375,2.133749999999999
44,大井,1600,2,757,9.64,29.33,19.485,16.9375,3.821249999999999
44,大井,1600,3,938,9.17,22.6,15.885000000000002,16.9375,-1.5787499999999977
44,大井,1600,4,1069,9.26,23.76,16.51,16.9375,-0.6412499999999977
44,大井,1600,5,1196,7.27,23.08,15.174999999999999,16.9375,-2.6437500000000016
44,大井,1600,6,1282,7.41,24.65,16.03,16.9375,-1.3612499999999983
44,大井,1600,7,1333,8.18,25.88,17.03,16.9375,0.1387500000000017
44,大井,1600,8,1357,8.92,25.13,17.025,16.9375,0.13124999999999787
44,大井,1650,1,43,9.3,27.91,18.605,17.380625000000002,1.8365624999999977
44,大井,1650,2,43,6.98,30.23,18.605,17.380625000000002,1.8365624999999977
44,大井,1650,3,44,6.82,22.73,14.775,17.380625000000002,-3.9084375000000025
44,大井,1650,4,51,3.92,19.61,11.765,17.380625000000002,-8.423437500000002
44,大井,1650,5,63,9.52,26.98,18.25,17.380625000000002,1.304062499999997
