"競馬場コード","競馬場名","距離(m)","クラス","サンプル数","集計開始日","集計終了日","基準タイム(秒)","標準偏差(秒)"
"55","佐賀","1400","一般戦","30981","20160102","20251228","91.95","1.49"
"55","佐賀","1750","上位クラス","475","20160123","20251206","116.84","1.89"
"55","佐賀","1750","E級","689","20160424","20251123","116.66","1.92"
"55","佐賀","1750","一般戦","1795","20160103","20251227","117.62","1.69"
"55","佐賀","1800","上位クラス","785","20160117","20251228","119.50","2.13"
"55","佐賀","1800","E級","549","20160104","20251213","119.47","1.64"
"55","佐賀","1800","一般戦","850","20160102","20251107","120.59","1.68"
"55","佐賀","1860","上位クラス","60","20230429","20251026","123.97","2.16"
"55","佐賀","1860","E級","60","20230624","20251115","124.05","2.56"
"55","佐賀","1860","一般戦","20","20230918","20250106","124.37","1.36"
"55","佐賀","2000","上位クラス","385","20160110","20251005","131.38","2.23"
"55","佐賀","2000","E級","65","20161002","20251018","132.26","1.43"
"55","佐賀","2500","上位クラス","50","20161016","20251102","169.57","3.04"
